cuisine,ingredient,weight
one-pan pasta,granapanano,10g
one-pan pasta,basil powder,1 teaspoon
one-pan pasta,Pepperoncino,1 teaspoon
Bacon Cheese Sticks,rice paper,Chapter 5
Bacon Cheese Sticks,string cheese,5 pieces
Bacon Cheese Sticks,bacon,Chapter 5
Bacon Cheese Sticks,flour,70g
Bacon Cheese Sticks,egg,80g
Bacon Cheese Sticks,bread crumbs,50g
little fight,cockle,1kg
little fight,chives,50g
little fight,Cheongyang Pepper,2
little fight,red pepper,2
little fight,pancake powder,500g
little fight,cooking oil,1/2 cup
little fight,water,800ml
Whole pork belly kimchi stew,Whole Pork Belly,300g
Whole pork belly kimchi stew,old paper,500g
Whole pork belly kimchi stew,green onion,30g
Whole pork belly kimchi stew,onion,One
Whole pork belly kimchi stew,chili powder,2 tbsp
Whole pork belly kimchi stew,chopped garlic,1 tbsp
Whole pork belly kimchi stew,anchovy pack,One
Whole pork belly kimchi stew,water,1L
Whole pork belly kimchi stew,soy sauce,1 tbsp
Whole pork belly kimchi stew,soybean paste,1 tbsp
chicken ball,chicken breast,300g
chicken ball,broccoli,15g
chicken ball,carrot,20g
Sweet and sour dumplings,dumpling,10 things
Sweet and sour dumplings,Fruit Cocktail,1 can
Sweet and sour dumplings,starch,2t
Sweet and sour dumplings,sugar,5t
Sweet and sour dumplings,vinegar,2t
Sweet and sour dumplings,soy sauce,3t
Sweet and sour dumplings,water,2 cups
Sweet and sour dumplings,cooking oil,3t
Sweet and sour dumplings,paprika,2-Jan
Sweet and sour dumplings,cucumber,2-Jan
Sweet and sour dumplings,onion,2-Jan
Sweet and sour dumplings,carrot,2-Jan
tteokguk,Tteokguktteok,200g
tteokguk,Beef bone broth,one
tteokguk,water,100ml
tteokguk,egg,one
tteokguk,green onion,wisp
tteokguk,salt,a teaspoon
tteokguk,pepper,a teaspoon
potato croquettes,potato,6 pieces
potato croquettes,flour,1/2 cup
potato croquettes,egg,2
potato croquettes,bread crumbs,2 cups
potato croquettes,butter,3 tbsp
potato croquettes,sugar,1 tbsp
potato croquettes,canned corn,1/3 cup
potato croquettes,pizza cheese,2/3 cup
potato croquettes,salt,1/4 tbsp
Tofu and Egg Pancake,tofu,1 set
Tofu and Egg Pancake,egg,Three
Tofu and Egg Pancake,carrot,10-Jan
Tofu and Egg Pancake,green onion,10cm
Tofu and Egg Pancake,perilla oil,1 tbsp
Tofu and Egg Pancake,salt,a little
Tofu and Egg Pancake,pepper powder,a little
Tofu and Egg Pancake,cooking oil,2 tbsp
mussel soup,mussel,1.5kg
mussel soup,radish,3-Jan
mussel soup,green onion,15cm
mussel soup,water,1.5 liters
mussel soup,soy sauce,1 1/2 tbsp
mussel soup,salt,1/6 tbsp
mussel soup,garlic,page 5
mussel soup,Rice wine,3 tbsp
mussel soup,Peperoncino,4-Mar
Broccoli with Soybean Paste,broccoli,1 1/2 zoom
Broccoli with Soybean Paste,soybean paste,1/2 tbsp
Broccoli with Soybean Paste,Sesame oil,1 tbsp
Broccoli with Soybean Paste,chopped garlic,1/2 tbsp
Broccoli with Soybean Paste,crushed sesame seeds,1/2 tbsp
Stir-fried Spicy Fish Cake,fish cake,200g
Stir-fried Spicy Fish Cake,Cheongyang Pepper,2
Stir-fried Spicy Fish Cake,paprika,One
Stir-fried Spicy Fish Cake,cooking oil,2T
Half and Half Anchovy Stir-fry,small anchovies,300g
Half and Half Anchovy Stir-fry,cooking oil,8T
Half and Half Anchovy Stir-fry,nuts,4T
Half and Half Anchovy Stir-fry,soy sauce,3T
Half and Half Anchovy Stir-fry,cooking wine,1T
Half and Half Anchovy Stir-fry,sugar,1T
Fish cake ramen,seafood ramen,One
Fish cake ramen,Cheongyang Pepper,One
Fish cake ramen,Chives,1 root
Fish cake ramen,Fish cake,150g
Fish cake ramen,water,600mL
Grilled Tofu Hotpot,Tofu for stew,half-haired
Grilled Tofu Hotpot,zucchini,2-Jan
Grilled Tofu Hotpot,White Mushroom,4 pieces
Grilled Tofu Hotpot,Chives,1/2 root
Grilled Tofu Hotpot,Beef Slices,100g
Flower Matsal Corn Cheese Dip,flower taste,one bag
Flower Matsal Corn Cheese Dip,corn,one cup
Flower Matsal Corn Cheese Dip,mayonnaise,2-3 tablespoons
Flower Matsal Corn Cheese Dip,pizza cheese,wisp
Flower Matsal Corn Cheese Dip,parsley,a little
Rice Cake Cheese Rice,rice cake,wisp
Rice Cake Cheese Rice,cheese,wisp
Rice Cake Cheese Rice,chili pepper paste,a tablespoon
Rice Cake Cheese Rice,Triangle Gimbap,One
Rice Cake Cheese Rice,corn,3-5 tablespoons
 Zucchini clam pancake,Clam,100g
 Zucchini clam pancake,squash,2-Jan
 Zucchini clam pancake,onion,6-Jan
 Zucchini clam pancake,red pepper,3 cm
 Zucchini clam pancake,egg,One
 Zucchini clam pancake,flour,4 tbsp
Sweet Potato Bacon Cheese Sticks,bread,4 pieces
Sweet Potato Bacon Cheese Sticks,Sweet Potato (Medium),One
Sweet Potato Bacon Cheese Sticks,bacon,Chapter 4
Sweet Potato Bacon Cheese Sticks,egg,2
Sweet Potato Bacon Cheese Sticks,mozzarella cheese,100g
Sweet Potato Bacon Cheese Sticks,sugar,1 tbsp
Sweet Potato Bacon Cheese Sticks,bread crumbs,1 cup
Tomato Bibim Noodles,Cherry tomato,about 15
Tomato Bibim Noodles,carding,1 serving
Tomato Bibim Noodles,Bibimjang,2-3 tablespoons
Tomato Bibim Noodles,leek,a little
Tomato Bibim Noodles,black sesame,a little
Stir-fried Fish Cake Cabbage,Fish cake,150g
Stir-fried Fish Cake Cabbage,cabbage,50g
Stir-fried Fish Cake Cabbage,onion,8-Jan
Stir-fried Fish Cake Cabbage,red pepper,4-Jan
Stir-fried Fish Cake Cabbage,[Seasoning] Minced garlic,1 tbsp
Stir-fried Fish Cake Cabbage,Chopped green onion,1/3 tbsp
Stir-fried Fish Cake Cabbage,brewed soy sauce,2 tbsp
Stir-fried Fish Cake Cabbage,sugar,1 tbsp
Stir-fried Fish Cake Cabbage,chili powder,1 tbsp
Stir-fried Fish Cake Cabbage,sesame,1/3 tbsp
Stir-fried Fish Cake Cabbage,Sesame oil,1/2 tbsp
Grilled Garlic Shrimp,shrimp,6
Grilled Garlic Shrimp,olive oil,2 tbsp
Grilled Garlic Shrimp,chopped garlic,1 tbsp
Grilled Garlic Shrimp,cheese powder,a little
Grilled Garlic Shrimp,parsley powder,a little
Beef Miso Soup,Beef (brisket),100g
Beef Miso Soup,tofu,1/2 hair
Beef Miso Soup,onion,6-Jan
Beef Miso Soup,green onion,6cm
Beef Miso Soup,red pepper,3 cm
Beef Miso Soup,cold sore,100g
Beef Miso Soup,soybean paste,1 tbsp
Spam Pumpkin Stir-fry,spam,1 can
Spam Pumpkin Stir-fry,squash,3-Jan
Spam Pumpkin Stir-fry,green onion,8cm
Spam Pumpkin Stir-fry,chili powder,1 tbsp
Spam Pumpkin Stir-fry,soy sauce,1 tbsp
Spam Pumpkin Stir-fry,Sesame oil,1 tbsp
Spam Pumpkin Stir-fry,corn syrup,2/3 tbsp
Spam Pumpkin Stir-fry,chopped garlic,1/2 tbsp
Spam Pumpkin Stir-fry,pepper powder,a little
Hwangtae Haejang Ramen,Hwang Tae-chae,1 zoom
Hwangtae Haejang Ramen,radish,1 zoom
Hwangtae Haejang Ramen,ramen,1 bag
Hwangtae Haejang Ramen,water,3 cups = 600ml
Hwangtae Haejang Ramen,chili powder,a little
Hotel breakfast,potato,One
Hotel breakfast,butter,1/2 tbsp
Hotel breakfast,salt,a little
Hotel breakfast,sugar,a little
Hotel breakfast,bread,One
Hotel breakfast,egg,One
Hotel breakfast,Baked Beans,1/2 cup
Hotel breakfast,salad greens,1 zoom
Hotel breakfast,tomato,One
Hotel breakfast,Salad Dressing or Balsamic Cream,a little
Grilled Mackerel,mackerel,1
Grilled Mackerel,rice water,2 cups
Grilled Mackerel,curry powder,1/3 tbsp
Grilled Mackerel,pepper powder,a little
Grilled Mackerel,whole garlic,6 grains
Grilled Mackerel,ginger,1 page
raw carrots,garlic,2
raw carrots,ginger,2cm
raw carrots,chili powder,2 tbsp
raw carrots,canary fish sauce,2 tbsp
raw carrots,sugar,tbsp
raw carrots,sesame,little
raw carrots,carrot,One
raw carrots,green pepper,One
Pickled Bird Song,birdsong,Three
Pickled Bird Song,Cheongyang Pepper,6 pieces
Pickled Bird Song,garlic,6 pieces
Pickled Bird Song,water,1 cup
Pickled Bird Song,soy sauce,1/2 cup
Pickled Bird Song,vinegar,1/2 cup
Pickled Bird Song,sugar,1/3 cup
mushroom leek side dish,King Oyster Mushroom,One
mushroom leek side dish,White Mushroom,One
mushroom leek side dish,nutrition leek,60g
mushroom leek side dish,green pepper,2
mushroom leek side dish,garlic,Three
mushroom leek side dish,soy sauce,1 tbsp
mushroom leek side dish,sugar,1/2 tbsp
mushroom leek side dish,chili powder,1 tbsp
mushroom leek side dish,sesame,little
mushroom leek side dish,Sesame oil,1 t
Making delicious chestnuts,night,20
Making delicious chestnuts,sugar,5 tbsp
Making delicious chestnuts,salt,1/2t
Zucchini clam soup,Clam,300g
Zucchini clam soup,squash,50g
Zucchini clam soup,radish,50g
Zucchini clam soup,oyster,50g
Zucchini clam soup,Cheongyang Pepper,One
Zucchini clam soup,green onion,5cm
Butter Squid Salad,calamari,1
Butter Squid Salad,lettuce,4-Jan
Butter Squid Salad,vitamin,loaf
Butter Squid Salad,chicory,3 stems
Butter Squid Salad,Lola Rossa,Chapter 5
Butter Squid Salad,Cherry tomato,5 pieces
Butter Squid Salad,butter,1/3 tbsp
Butter Squid Salad,pepper,little
Butter Squid Salad,salt,little
Clam Seaweed Steamed Egg,egg,Three
Clam Seaweed Steamed Egg,Clam,100g
Clam Seaweed Steamed Egg,seaweed,1 page
Clam Seaweed Steamed Egg,green onion,5cm
Clam Seaweed Steamed Egg,soy sauce,1 tbsp
Salmon Salad,salmon,100g
Salmon Salad,lettuce,4-Jan
Salmon Salad,vitamin,1 loaf
Salmon Salad,chicory,3 stems
Salmon Salad,Lola Rossa,Chapter 5
Salmon Salad,Cherry tomato,5 pieces
Salmon Salad,lemon,2-Jan
Salmon Salad,onion,10g
Salmon Salad,caper,10 things
Bone Haejangguk,pork backbone,500g
Bone Haejangguk,potato,One
Bone Haejangguk,onion,4-Jan
Bone Haejangguk,green onion,1/4 unit
Bone Haejangguk,red pepper,One
Bone Haejangguk,Chinese Cabbage,100g
Bone Haejangguk,Sesame,Chapter 3
Bone Haejangguk,soy sauce,1 tbsp
Bone Haejangguk,Perilla Sesame Powder,1 tbsp
Seasoned Garlic,garlic shoots,1/2 stage
Seasoned Garlic,garlic,10 pills
Seasoned Garlic,chili pepper paste,3 tbsp
Seasoned Garlic,chili powder,1 tbsp
Seasoned Garlic,corn syrup,2 tbsp
Seasoned Garlic,sesame,1/2 tbsp
Seasoned Garlic,Sesame oil,1 tbsp
mallow miso soup,mallow,100g
mallow miso soup,onion,2-Jan
mallow miso soup,Cheongyang Pepper,One
mallow miso soup,green onion,4-Jan
mallow miso soup,anchovy,Three
mallow miso soup,Kelp,One
mallow miso soup,soybean paste,2 tbsp
mallow miso soup,soy sauce,a little
Sweet Potato Paste,sweet potato,One
Sweet Potato Paste,peanut,3 pills
Sweet Potato Paste,water,5 tbsp
Sweet Potato Paste,sugar,5 tbsp
Shrimp Cream Salad,plain yogurt,One
Shrimp Cream Salad,mayonnaise,2 tbsp
Shrimp Cream Salad,lemon juice,2 tbsp
Shrimp Cream Salad,honey,1 tbsp
Shrimp Cream Salad,lettuce,10g
Shrimp Cream Salad,romaine,Chapter 3
Shrimp Cream Salad,Lola Rossa,Chapter 3
Shrimp Cream Salad,chicory,Chapter 3
Shrimp Cream Salad,Cherry tomato,2
Shrimp Cream Salad,broccoli,1/6 loaf
Shrimp Cream Salad,shrimp,10
Shrimp Cream Salad,starch powder,2 tbsp
Shrimp Cream Salad,cooking oil,500ml
Homemade Jajangmyeon,cucumber,6cm
Homemade Jajangmyeon,squash,6cm
Homemade Jajangmyeon,potato,4-Jan
Homemade Jajangmyeon,onion,6-Jan
Homemade Jajangmyeon,garlic,2
Homemade Jajangmyeon,sirloin of money,100g
Homemade Jajangmyeon,unfamiliar,2 servings
Homemade Jajangmyeon,Chunjang,2 tbsp
Homemade Jajangmyeon,sugar,1 tbsp
Homemade Jajangmyeon,starch powder,2 tbsp
"Clam, Soybean Paste Stew",Clam,300g
"Clam, Soybean Paste Stew",onion,4-Jan
"Clam, Soybean Paste Stew",green onion,4-Jan
"Clam, Soybean Paste Stew",garlic,One
"Clam, Soybean Paste Stew",green pepper,One
"Clam, Soybean Paste Stew",red pepper,One
"Clam, Soybean Paste Stew",oyster mushroom,20g
"Clam, Soybean Paste Stew",squash,4-Jan
Garlic Spicy Japchae,garlic shoots,6 stems
Garlic Spicy Japchae,beef rump,150g
Garlic Spicy Japchae,chopped garlic,1/2 tbsp
Garlic Spicy Japchae,salt,1/2t
Garlic Spicy Japchae,pepper,little
Garlic Spicy Japchae,Sesame oil,1 t
Homemade Cheese Tteokgalbi,beef,200g
Homemade Cheese Tteokgalbi,mozzarella cheese,1/2 cup
Homemade Cheese Tteokgalbi,soy sauce,1 tbsp
Homemade Cheese Tteokgalbi,sugar,1/2 tbsp
Homemade Cheese Tteokgalbi,chopped garlic,1/2 tbsp
Homemade Cheese Tteokgalbi,chopped green onion,1/2 tbsp
Homemade Cheese Tteokgalbi,pepper,little
Homemade Cheese Tteokgalbi,sesame salt,little
Homemade Cheese Tteokgalbi,Sesame oil,1 t
Chogyetang,chicken,1
Chogyetang,cucumber,4-Jan
Chogyetang,red cabbage,50g
Chogyetang,paprika,1/4 each
Chogyetang,onion,4-Jan
Chogyetang,red pepper,3-Jan
Chogyetang,light mustard,1 tbsp
Chogyetang,soy sauce,1/2 teaspoon
Chogyetang,sugar,1 tbsp
Chogyetang,salt,a little
Webfoot octopus shabu-shabu,Webfoot octopus,2
Webfoot octopus shabu-shabu,napa cabbage,1 page
Webfoot octopus shabu-shabu,bok choy,1 loaf
Webfoot octopus shabu-shabu,Sesame,Chapter 5
Webfoot octopus shabu-shabu,onion,4-Jan
Webfoot octopus shabu-shabu,pepper,1/3 each
Webfoot octopus shabu-shabu,crown daisy,1 stem
Webfoot octopus shabu-shabu,Kelp,Chapter 2
Webfoot octopus shabu-shabu,anchovy,6
Webfoot octopus shabu-shabu,radish,50g
Webfoot octopus shabu-shabu,green onion,5cm
Webfoot octopus shabu-shabu,chopped garlic,1/2 tbsp
Crammy Mackie,Crammy,90g
Crammy Mackie,seaweed,Chapter 4
Crammy Mackie,pickled radish,100g
Crammy Mackie,cucumber,4-Jan
Crammy Mackie,carrot,50g
Crammy Mackie,onion,4-Jan
Crammy Mackie,Sesame,Chapter 5
Crammy Mackie,dried chicory tea,Chapter 8
Crammy Mackie,rice,1 air
"Radish rice, Dalrae seasoning",rice,2 cups
"Radish rice, Dalrae seasoning",radish,50g
"Radish rice, Dalrae seasoning",Shiitake mushrooms,2
"Radish rice, Dalrae seasoning",soothe,30g
"Radish rice, Dalrae seasoning",soy sauce,4 tbsp
"Radish rice, Dalrae seasoning",chili powder,1 tbsp
"Radish rice, Dalrae seasoning",sugar,1/2 tbsp
"Radish rice, Dalrae seasoning",Plum undiluted solution,1 tbsp
"Radish rice, Dalrae seasoning",Sesame oil,1 tbsp
butter potatoes,butter,1 tbsp
butter potatoes,sugar,1.5 tbsp
butter potatoes,salt,1/3 tbsp
butter potatoes,parsley,little
 Fruit skewers and sweet potato pots,strawberry,6 pieces
 Fruit skewers and sweet potato pots,green grape,6 pieces
 Fruit skewers and sweet potato pots,mango,2-Jan
 Fruit skewers and sweet potato pots,Cherry tomato,6 pieces
 Fruit skewers and sweet potato pots,sweet potato,One
 Fruit skewers and sweet potato pots,corn corn,2 tbsp
 Fruit skewers and sweet potato pots,young leafy vegetables,30g
 Fruit skewers and sweet potato pots,sugar,little
Canned Saury,canned saury,2 cans
Canned Saury,onion,2-Jan
Canned Saury,green onion,8cm
Canned Saury,Silpa,5 pieces
Canned Saury,red pepper,One
Canned Saury,Cheongyang Pepper,One
Canned Saury,water,1 cup
Canned Saury,soy sauce,1 ladle
Canned Saury,chili powder,2 tbsp
Canned Saury,Mirin,1/2 cup
Canned Saury,chopped garlic,1/2 tbsp
Canned Saury,pepper,little
Bacon Spinach Pasta,pasta noodles,90g
Bacon Spinach Pasta,bacon,Chapter 2
Bacon Spinach Pasta,garlic,2
Bacon Spinach Pasta,onion,6-Jan
Bacon Spinach Pasta,spinach,One
Bacon Spinach Pasta,young leafy vegetables,80g
Bacon Spinach Pasta,milk,300ml
Bacon Spinach Pasta,whipping cream,150ml
Bacon Spinach Pasta,salt,1/3 tbsp
Bacon Spinach Pasta,pepper,little
Cheese Kimchi Egg Roll,hamburger buns,One
Cheese Kimchi Egg Roll,beef,150g
Cheese Kimchi Egg Roll,sliced cheese,1 page
Cheese Kimchi Egg Roll,tomato,5-Jan
Cheese Kimchi Egg Roll,paprika,5-Jan
Cheese Kimchi Egg Roll,lettuce,20g
Cheese Kimchi Egg Roll,young leafy vegetables,10g
Cheese Kimchi Egg Roll,mayonnaise,1/2 tbsp
Spinning Sandwich,boiled potatoes,200g
Spinning Sandwich,boiled egg,50g
Spinning Sandwich,Chopped Carrots,10g
Spinning Sandwich,salt,1/2 teaspoon
Spinning Sandwich,pepper,1/2 teaspoon
Spinning Sandwich,mayonnaise,tbsp
Spinning Sandwich,bread,Chapter 6
Spinning Sandwich,sliced cheese,Chapter 6
Spinning Sandwich,sliced ham,Chapter 3
Pork Rib Kimchi Hotpot,Pork barbecue,1 root
Pork Rib Kimchi Hotpot,sour kimchi,Appropriate amount
Pork Rib Kimchi Hotpot,frozen dumplings,Appropriate amount
Pork Rib Kimchi Hotpot,rice cake,Appropriate amount
Pork Rib Kimchi Hotpot,Ramen Sari,One
Pork Rib Kimchi Hotpot,bone broth,1L
Pork Rib Kimchi Hotpot,onion,half
Pork Rib Kimchi Hotpot,Cabbage,a little
Pork Rib Kimchi Hotpot,green onion,1 root
Pork Rib Kimchi Hotpot,chili powder,2.5 tbsp
Pork Rib Kimchi Hotpot,chopped garlic,1 tbsp
Pork Rib Kimchi Hotpot,oligosaccharide,1 tbsp
Pork Rib Kimchi Hotpot,soy sauce,2 tbsp
Pork Rib Kimchi Hotpot,cooking wine,2 tbsp
Pork Rib Kimchi Hotpot,plum,1 tbsp
Cheese Stuffed Potatoes,egg potato or potato,6 pieces
Cheese Stuffed Potatoes,butter,2 tbsp
Cheese Stuffed Potatoes,sugar,1 tbsp
Cheese Stuffed Potatoes,Garlic Powder,1 tbsp
Cheese Stuffed Potatoes,dried herbs,a little
Cheese Stuffed Potatoes,salt,a little
Cheese Stuffed Potatoes,Milk or whipped cream paper cup,half a cup
Cheese Stuffed Potatoes,Nacho Cheese,1 cup
Cheese Stuffed Potatoes,onion,1/4 piece
Cheese Stuffed Potatoes,chili sauce,a little
Cheese Stuffed Potatoes,pepper,little
Cheese Stuffed Potatoes,pizza cheese,handful
Cheese Braised Chicken,One chicken (for stir-fried soup),one animal
Cheese Braised Chicken,1 sweet potato,One
Cheese Braised Chicken,1 potato,One
Cheese Braised Chicken,1 carrot,One
Cheese Braised Chicken,green onion 3 roots,3 roots
Cheese Braised Chicken,onion,One
Cheese Braised Chicken,Two Handfuls of Pizza Cheese,two zoom
Cheese Braised Chicken,1 cup of water,1 cup
Cheese Braised Chicken,half a cup of cooking wine,half a cup
Cheese Braised Chicken,half a cup of soy sauce,half a cup
Cheese Braised Chicken,3 tbsp sugar,3 tbsp
Cheese Braised Chicken,a little sesame oil,a little
Cheese Braised Chicken,some pepper,a little
Cheese Braised Chicken,Ginger (powder) a little,a little
Cheese Braised Chicken,half a tablespoon of minced garlic,half tbsp
Cheese Braised Chicken,8 tablespoons chopped green onion,8 tbsp
Cheese Braised Chicken,a bit of whole sesame,a little
Cheese Braised Chicken,vermicelli,a little
Chicken Steak & Beef Mushroom,350g chicken thigh meat,350g
Chicken Steak & Beef Mushroom,8 button mushrooms,8 pieces
Chicken Steak & Beef Mushroom,6 tbsp butter,6 tbsp
Chicken Steak & Beef Mushroom,3 tbsp flour,3 tbsp
Chicken Steak & Beef Mushroom,1 cup of water,1 cup
Chicken Steak & Beef Mushroom,2 tablespoons Worcestershire Sauce,2 tbsp
Chicken Steak & Beef Mushroom,1 tablespoon ketchup,1 tbsp
Chicken Steak & Beef Mushroom,1 tablespoon tonkatsu sauce,1 tbsp
Chicken Steak & Beef Mushroom,1 tbsp beef stock,1 tbsp
Chicken Steak & Beef Mushroom,1 tbsp oligosaccharides,1 tbsp
Chicken Steak & Beef Mushroom,0.5 tbsp sugar,0.5 tbsp
Whole Squid Pasta,squid body,1
Whole Squid Pasta,pasta noodles,120g
Whole Squid Pasta,tomato sauce,300mL
Whole Squid Pasta,butter,1T
Bean Sprouts Fried Rice,rice,1 serving
Bean Sprouts Fried Rice,Bean sprouts,120g
Bean Sprouts Fried Rice,kimchi,100g
Bean Sprouts Fried Rice,Chives,2 roots
Bean Sprouts Fried Rice,chopped garlic,1 t
Bean Sprouts Fried Rice,squid leg,1
Bean Sprouts Fried Rice,soy sauce,1T
Bean Sprouts Fried Rice,Oyster Sauce,1T
Bean Sprouts Fried Rice,cooking wine,1T
Marshmallow Honey Milk Tea,milk,250 mL
Marshmallow Honey Milk Tea,water,60 mL
Marshmallow Honey Milk Tea,Decap Black Tea Tea Bag,Three
Marshmallow Honey Milk Tea,honey,1T
Marshmallow Honey Milk Tea,marshmallow,4 pieces
Soybean Paste Stew,snail,110g
Soybean Paste Stew,tofu,1/4 hair
Soybean Paste Stew,onion,8-Jan
Soybean Paste Stew,squash,50g
Soybean Paste Stew,red pepper,3g
Soybean Paste Stew,green onion,5g
Soybean Paste Stew,anchovy,10
Soybean Paste Stew,Kelp,2 sheets of 5cm
Soybean Paste Stew,soybean paste,2 tbsp
Soybean Paste Stew,chili powder,1 tbsp
Soybean Paste Stew,Cheongju (milim),2 tbsp
radish greens,radish,300g
radish greens,chopped garlic,1/3 tbsp
radish greens,chopped green onion,1/2 tbsp
radish greens,Kelp,2 sheets of 5cm
radish greens,salt,1/3 tbsp
radish greens,soy sauce,1/2 tbsp
radish greens,Sesame oil,1 tbsp
radish greens,sesame salt,1/2 tbsp
Chocolate wafers,Wafers,1 plate
Chocolate wafers,chocolate,1 bowl
Chadol Roll Steamed Rice,marbled,300g
Chadol Roll Steamed Rice,Sesame,Chapter 10
Chadol Roll Steamed Rice,chives,50g
Chadol Roll Steamed Rice,enoki mushroom,50g
Chadol Roll Steamed Rice,host,100g
Chadol Roll Steamed Rice,mayonnaise,1 tbsp
Chadol Roll Steamed Rice,Tzuyu,1 tbsp
Stir-fried Nakji in Mugyo-dong,Octopus,two
Stir-fried Nakji in Mugyo-dong,green onion,80g
Stir-fried Nakji in Mugyo-dong,Boiled Bean Sprouts,wisp
Stir-fried Nakji in Mugyo-dong,water,one cup
Stir-fried Nakji in Mugyo-dong,chili powder,two tablespoons
Stir-fried Nakji in Mugyo-dong,Cheongyang Red Pepper Powder,two tablespoons
Stir-fried Nakji in Mugyo-dong,soy sauce,half a tablespoon
Stir-fried Nakji in Mugyo-dong,sugar,a tablespoon
Stir-fried Nakji in Mugyo-dong,oligosaccharide,half a tablespoon
Stir-fried Nakji in Mugyo-dong,cooking oil,3 tbsp
Stir-fried Nakji in Mugyo-dong,chopped garlic,3 tbsp
Stir-fried Nakji in Mugyo-dong,flour,50g
Stir-fried Nakji in Mugyo-dong,salt,half a teaspoon
Nuclear Fire Chicken Bacon Stir-Fried Noodles,Nuclear Fire Chicken Stir-Fried Noodles,One
Nuclear Fire Chicken Bacon Stir-Fried Noodles,butter,1/2 tbsp
Nuclear Fire Chicken Bacon Stir-Fried Noodles,garlic,10g
Nuclear Fire Chicken Bacon Stir-Fried Noodles,bacon,50g
Nuclear Fire Chicken Bacon Stir-Fried Noodles,mayonnaise,1 tbsp
Nuclear Fire Chicken Bacon Stir-Fried Noodles,corn,30g
Nuclear Fire Chicken Bacon Stir-Fried Noodles,Cheongyang Pepper,5g
Bark Chocolate,white couverture chocolate,500g
Bark Chocolate,dried fruit,70g
pupa bath,pupa,130g
pupa bath,garlic,2 rolls
pupa bath,water,1 1/2 cups
pupa bath,chili powder,1 tbsp
pupa bath,soy sauce,1 tbsp
pupa bath,Chives,2 stems
pupa bath,green and red pepper,1/2 each
Salmon Omelet,egg,2
Salmon Omelet,milk,3 tbsp
Salmon Omelet,canned salmon,1 can
Salmon Omelet,Sliced Cheese,1 page
Salmon Omelet,sausage,One
Salmon Omelet,ketchup,a little
Salmon Omelet,salt,a little
Salmon Omelet,pepper,a little
Corn Corn Soup,can of corn,120g
Corn Corn Soup,milk,2 cups
Corn Corn Soup,onion,4-Jan
Corn Corn Soup,potato,2-Jan
Corn Corn Soup,butter,1 tbsp
Jangjorim Bibimbap,Jangjorim,1/2 cup
Jangjorim Bibimbap,"Buckwheat noodles (or somen, medium noodles)",1 serving
Jangjorim Bibimbap,garlic,2-3 grains
Jangjorim Bibimbap,green and red pepper,1/2 each
Castella Strawberry Cake,castella,100g
Castella Strawberry Cake,whipping cream,150g
Castella Strawberry Cake,strawberry,100g
Anchovy Rice Ball,small anchovies,100g
Anchovy Rice Ball,nuts,200g
Anchovy Rice Ball,rice,1 air
Anchovy Rice Ball,Sesame oil,1 tsp
Anchovy Rice Ball,Whole sesame,1 tsp
Anchovy Rice Ball,soy sauce,2 tsp
Anchovy Rice Ball,sugar,2 tsp
Anchovy Rice Ball,Mirin,1 tbsp
Anchovy Rice Ball,corn syrup,1 tbsp
Injeol Migratang,Injeolmi,10 things
Injeol Migratang,Pumpkin Sweet Potato,2
Injeol Migratang,mozzarella cheese,2-Jan
Injeol Migratang,Del Cube Cheese,10 things
Injeol Migratang,nuts,1 zoom
Injeol Migratang,oil,1 t
Injeol Migratang,honey,2t
Curry Chicken Sandwich,bread,2 slices
Curry Chicken Sandwich,chicken breast,200g
Curry Chicken Sandwich,tomato,half
Curry Chicken Sandwich,White Mushroom,100g
Curry Chicken Sandwich,onion,One
Curry Chicken Sandwich,cooking oil,4T
Curry Chicken Sandwich,salt,1/2t
Curry Chicken Sandwich,pepper,1/3t
Curry Chicken Sandwich,mayonnaise,1T
Cauliflower Cream Soup,Cauliflower,150g
Cauliflower Cream Soup,onion,2-Jan
Cauliflower Cream Soup,whipping cream,150 mL
Cauliflower Cream Soup,milk,200 mL
Cauliflower Cream Soup,bread,a little
Cauliflower Cream Soup,butter,1T
LA Galbi Stew,LA Galbi,200g
LA Galbi Stew,onion,2-Jan
LA Galbi Stew,carrot,100g
LA Galbi Stew,White Mushroom,100g
LA Galbi Stew,potato,One
Bacon Grilled Scallop,scallop,8
Bacon Grilled Scallop,bacon,Chapter 4
Bacon Grilled Scallop,Assorted Salad Vegetables,wisp
Bacon Grilled Scallop,Balsamic vinegar,2T
Bacon Grilled Scallop,cooking oil,1T
whiskey bonbon,Shell Chocolate (White),14
whiskey bonbon,Shell Chocolate (Chocolate),14
whiskey bonbon,Tubular Ganache,One
whiskey bonbon,Tubular Hazelnut Cream,One
whiskey bonbon,Dark Coverture Chocolate,200g
whiskey bonbon,White Coverture Chocolate,200g
whiskey bonbon,Choco Pen (White),One
whiskey bonbon,Choco Pen (Pink),One
whiskey bonbon,Chocopen (Choco),One
whiskey bonbon,rum,20g
whiskey bonbon,whiskey,20g
whiskey bonbon,raspberry wine,20g
whiskey bonbon,sprinkle,a little
whiskey bonbon,almond powder,10g
Daepae Tteokbokki,Tteokbokki Rice Cake,1 cup
Daepae Tteokbokki,Flat Pork Belly,1 cup
Daepae Tteokbokki,onion,2-Jan
Daepae Tteokbokki,Ramen Sari,4-Jan
